Timestamp,What department/school/institution are you based in? Please use the three digit acronym in your UEA email signature.  ,Would you class yourself or those in your household as moderate risk or high risk (see here: https://bit.ly/3ikNYxv) from COVID-19?,"What is your ethnicity? We are using the HESA/UEA categories, so please feel free to leave this question blank if you do not believe these categories correctly identify your ethnicity. ",What kind of contract(s) are you employed on at UEA?,Have you undertaken any face-to-face learning activities so far this term?,How satisfied are you with UEA's response to the resumption of face-to-face learning activities?,"How satisfed are you with the training and support available to staff to aid ""blended"" or fully online learning approaches?",Which of the following statements match your feelings about the resumption of face-to-face learning activities? (Tick all that apply),How strongly do you agree with the following statements? [The changes to learning necessary this year have led to an increase in my workload],How strongly do you agree with the following statements? [My workload concerns have been acknowledged by my line manager and adequate steps have been taken to ensure I am not overworked.],How strongly do you agree with the following statements? [My workload this term is manageable],How strongly do you agree with the following statements? [My workload this term is having a negative impact on my mental and/or physical wellbeing],How strongly do you agree with the following statements? [I know how to raise any workload concerns I may have],Which of the following statements match your feelings about face-to-face learning activities? (Tick all that apply),How strongly do agree with the following statements? [UEA staff should be providing every student with two hours face-to-face contact per week],How strongly do agree with the following statements? [All teaching should be delivered online with the exception of practical classes where this is not possible],How strongly do agree with the following statements? [UEA staff should be providing students with more than two hours per week face to face teaching],How strongly do agree with the following statements? [I feel relaxed about the prospect of delivering face-to-face learning activities],How strongly do agree with the following statements? [I am concerned about catching COVID-19 and/or spreading it to others as a result of face to face teaching],How strongly do agree with the following statements? [I feel that I can discuss concerns about face to face teaching with my line manager],"Please only answer this question if you are a member who has been (or will be) delivering practical laboratory sessions. [There should be a faculty level discussion to determine which labs are essential to ensure degree quality, and which are optional.]",Please only answer this question if you are a member who has been (or will be) delivering practical laboratory sessions. [Only essential skills and labs should be being taught face to face. All other labs should be taught by online demonstration.],Please only answer this question if you are a member who has been (or will be) delivering practical laboratory sessions. [There is sufficient PPE provided to make these teaching sessions safe enough.],Please outline any further thoughts - positive or negative - you have about face-to-face learning activities in the Autumn 2020 semester,The National UCU position is that teaching should be online this semester unless there is a clear reason why this activity needs to happen face-to-face (such as practical laboratory sessions).  Do you agree with this position?,UEA has indicated it wishes to increase face-to-face learning activities from week five.  Should UCU UEA oppose this?,What would you like the branch to do in response to the resumption of face-to-face learning activities and are there any other comments you would like to leave for the committee?,"May we quote your written responses in any future reports, communications, or ongoing discussions with management?"
10/6/2020 8:44:33,est,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,5,5,I'm very concerned about resuming face-to-face learning activities,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"I feel my concerns are heard, but nothing is done as a result",Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,,,,This comment should not appear,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 8:45:01,Pha,"No, I believe my household and I are at low risk from COVID-19",,,,5,2,My concern about resuming face-to-face learning activities has increased since the start of September,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:45:44,STS,"No, I believe my household and I are at low risk from COVID-19",,,"No, but I am scheduled to do so later this term.",3,2,"I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Agree,"My concerns have been heard, it is important that face to face tuition resumes, but currently do not have a workplace on campus",Disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,,,,,No,"No, UCU UEA should not oppose moves to increase face-to-face learning activities",Efforts need to be based on making campus safe. If it is not safe for face to face teaching then it obviously cannot happen and if unsafe on campus then students should not be there either,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:45:49,PSY,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,5,8,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I don't know how to effectively voice my concerns",Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 8:45:59,MED,One or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,5,7,"I'm very concerned about resuming face-to-face learning activities, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,I don't have any concerns about face-to-face learning activities,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,,,,,Yes,I don't know,,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:46:22,AMA,"No, I believe my household and I are at low risk from COVID-19",,,"No, but I am scheduled to do so later this term.",5,7,"My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so",Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,I feel my concerns are heard and appropriate actions are taken,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:46:36,MTH,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,7,8,"I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,,,,,No,"No, UCU UEA should not oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:46:46,,One or more of my household or people I have caring responsibilities for,,,Yes.,3,6,"I'm very concerned about resuming face-to-face learning activities, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,"I feel my concerns have been totally ignored, I feel my concerns are heard locally, but ignored by Faculty and/or University management, I don't know how to effectively voice my concerns",Disagree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Strongly disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,
10/6/2020 8:47:29,DEV,Myself,,,No and I am not currently scheduled to do so.,1,4,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","If there is to be an increase in f2f at the same time as increased cases within campus/the local area, UCU-UEA may need to ballot members for industrial action. Short of this, the VC has done little to engage staff himself and it seems as most messaging is being funneled down -- it's hard to trust, and buy into UEA's plan when there are few opportunities to push on certain issues.","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:48:08,AMA,"No, I believe my household and I are at low risk from COVID-19",,,"No, but I am scheduled to do so later this term.",5,7,"I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Disagree,Disagree,Disagree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Disagree,Agree,Disagree,Disagree,Agree,Agree,,,,,I don't know,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","Querying why Week 5 - I think its sensible to revisit this issue for Sem 2 and see how things are progressing/changing, but why mess around with plans and workloads halfway through the semester?","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:48:22,IIH,One or more of my household or people I have caring responsibilities for,,,"No, but I am scheduled to do so later this term.",2,3,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,"I feel my concerns are heard, but nothing is done as a result",Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","I think that opposing this is the strongest possible terms is the only way to proceed collectively. We need to work with the NUS as well, as students are vulnerable and not a homogenous immune-resistant teenage whole. This entire farce is abject ableism and ageism. Our lives are at risk. This is about workplace safety - I don't think the VC has caught up with the science - or is wilfully ignoring the inconvenient bits about transmission.","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:49:19,Med ,One or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,9,7,"I'm very concerned about resuming face-to-face learning activities, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,I don't have any concerns about face-to-face learning activities,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,,,,,I don't know,"No, UCU UEA should not oppose moves to increase face-to-face learning activities","Divide work by risk? 
If happy let them Teach f to f",
10/6/2020 8:49:32,LDC,Myself and one or more of my household or people I have caring responsibilities for,,,"No, but I am scheduled to do so later this term.",1,3,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, My concern about resuming face-to-face learning activities has decreased since the start of September, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard and appropriate actions are taken",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Strongly argue against it and put the point that it is essentially irresponsible to force face to face teaching for non Science and Medical students.,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:49:33,LIB,One or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,6,6,I do deliver library training but have been told I need to do this entirely remotely. I would prefer to deliver face-to-face but understand why this is not best approach in current circumstances,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Not relevant - I have been told I will not be teaching face to face,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,I don't know,I don't know,,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:49:51,MTH,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,8,6,"My concern about resuming face-to-face learning activities has decreased since the start of September, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,I feel my concerns are heard and appropriate actions are taken,Strongly agree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,,,,,No,"No, UCU UEA should not oppose moves to increase face-to-face learning activities",Face-to-Face teaching is key to students' mental health and well being. The focus should be on getting back safely rather than delaying getting back.,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:50:09,ama,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,3,3,"I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,I am not being asked to do f2f so cannot really answer this question,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,,,,This comment should not appear,Yes,"No, UCU UEA should not oppose moves to increase face-to-face learning activities","To make sure that this is done as well as it can be. I don't see that making a massive fight about this now, especially after the failure of last year's strike action, is in anybody's interests. ","No, you may not cite my written responses to the open questions in this survey"
10/6/2020 8:50:10,NBS,"No, I believe my household and I are at low risk from COVID-19",,,"No, but I am scheduled to do so later this term.",3,6,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September",Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,Strongly agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Other branches have balloted for action over this.,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:51:23,Psy,"No, I believe my household and I are at low risk from COVID-19",,,"No, but I am scheduled to do so later this term.",3,6,"My concern about resuming face-to-face learning activities has increased since the start of September, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,"I feel my concerns are heard, but nothing is done as a result",Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,,,,,I don't know,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",I think it all hinges on case numbers and capacity to test trace & isolate - I’m ok with some f2f teaching if cases are low & testing is frequent,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:51:40,ENV,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,3,7,"My concern about resuming face-to-face learning activities has decreased since the start of September, I don't/didn't have concerns about resuming face-to-face learning activities",Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,I don't have any concerns about face-to-face learning activities,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Strongly Agree,,No,"No, UCU UEA should not oppose moves to increase face-to-face learning activities","Support staff who are keen to do more face to face teaching. I have been deeply disappointed by UCUs national line on teaching, to the extent that I am likely to resign from membership","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:52:41,AMA,Myself,,,No and I am not currently scheduled to do so.,1,2,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,"I feel my concerns have been totally ignored, I feel my concerns are heard, but nothing is done as a result",Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,,,,Yes,"No, UCU UEA should not oppose moves to increase face-to-face learning activities",I honestly don't know. Resistance feels futile as it will be ignored but its important that we do resist. Re question below - you may cite my written responses but please do not associate with my school or any way in which I will be potentially identified.,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:54:05,,,,,,,,,,,,,,,,,,,,,,,,,No,"No, UCU UEA should not oppose moves to increase face-to-face learning activities","If staff (like students) have a genuine reason not to provide f2f then fair enough. Our teachers are providing school pupils with quality f2f learning on a much larger scale.  I would much rather do f2f than endure the online stuff, it is so unrewarding.","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:54:08,HIS,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,7,4,My concern about resuming face-to-face learning activities has decreased since the start of September,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,,,,,Yes,I don't know,Talk to the SU and the students,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:54:26,NBS,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,8,8,I don't/didn't have concerns about resuming face-to-face learning activities,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I don't have any concerns about face-to-face learning activities",Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,,,,,No,"No, UCU UEA should not oppose moves to increase face-to-face learning activities","Encourage it. January 1st 2021 is NOT going to change the virus. It is not that smart to know that from next year, it will cease to be infectious.","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:54:27,HSC,Myself,,,Yes.,7,9,I don't/didn't have concerns about resuming face-to-face learning activities,Agree,Agree,Agree,Disagree,Agree,I feel my concerns are heard and appropriate actions are taken,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,,,Strongly Agree,,No,"No, UCU UEA should not oppose moves to increase face-to-face learning activities","Continue to ensure risk assessments and staff and student safety are promoted and that UEA Exec is influenced. Any plans for face to face in person teaching have to be influenced by the changing R rates and any regional, local or national regulations. Press for broadening and increasing coronavirus testing to influence strategic plans. ","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:54:39,AMA,Myself,,,"No, but I am scheduled to do so later this term.",9,6,"I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"I feel my concerns are heard, but nothing is done as a result",Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,,,,,I don't know,I don't know,,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 8:55:25,MED,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,8,7,I don't/didn't have concerns about resuming face-to-face learning activities,Agree,Agree,Agree,Disagree,Agree,I feel my concerns are heard and appropriate actions are taken,Agree,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Agree,,,,,No,"No, UCU UEA should not oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:55:44,PHA,"No, I believe my household and I are at low risk from COVID-19",,,"No, but I am scheduled to do so later this term.",3,2,My concern about resuming face-to-face learning activities has increased since the start of September,Strongly Agree,Strongly Disagree,Disagree,Agree,Neither Agree nor Disagree,"I feel my concerns have been totally ignored, I feel my concerns are heard, but nothing is done as a result",Disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Disagree,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 8:56:11,HSC,"No, I believe my household and I are at low risk from COVID-19",,,"No, but I am scheduled to do so later this term.",2,3,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so",Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,"I feel my concerns have been totally ignored, I feel my concerns are heard, but nothing is done as a result",Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",UEA must be asked to risk assess all staff individually before compliance with a blanket request can be expected. They must be asked to factor in the following in such a blanket request: review of staff workload in the context of small group teaching that needs to be replicated; assessment of of impact of staff deficiencies - where staff vacancies have not been filled or the post has been filled at 50% of the original establishment; demands of cleaning duties in relation to physical classrooms and how this can be managed without staff taking on extra duties; one way systems on campus and the time it takes to move from classroom to classroom and building to building; contingencies for staff who catch Covid and/or need to self-isolate.,"Yes, you may cite my written responses to the open questions in this survey"
